Num,Address,Checkins,City,Country,Created,Latitude,Longitude,Title,Type
79,Профсоюзная 27К1,2,1,1,1280741941,55.673869,37.559505,Джазман,4
80,Опалихинская 15,0,49,1,1280741941,56.848699,60.564452,City,4
81,ул. Казанская 7,0,2,1,1280741941,59.933519,30.323863,Kvartal,4
82,Куйбышева 4,0,110,1,1280741941,58.014536,56.232632,Loco,4
83,Гоголя 1,8,112,1,1280741941,61.783937,34.366201,"""Barcelona"" Cafe-Bar-Club",4
84,промзона 1а,1,95,1,1280741941,56.34282,43.835082,Рим,4
85,М.Бронная 10,1,1,1,1280741941,55.760722,37.596669,Rush,4
86,Ниж.Сусальный пер. 5К15а,10,1,1,1280741941,55.76129,37.663068,Воздух,4
87,Таганская 2,2,1,1,1280741941,55.73549,37.616953,Mixtura,4
88,просп. Энгельса 154,0,2,1,1280741941,60.058668,30.336112,Запой,4
89,Крымский вал 3К2,4,1,1,1280741941,55.72927,37.609124,Pridebar,4
90,Б.Златоустинский пер. 7,75,1,1,1280741941,55.758686,37.632768,Bourbon Street,4
91,М.Посадская 19,1,2,1,1280741941,59.957859,30.330169,Антресоль,4
92,1-й Смоленский пер. 3,4,1,1,1280741941,55.746608,37.57969,Mafia,4
93,Новозаводская 27,9,1,1,1280741941,55.749729,37.498788,Главклуб,4
94,Земляной Вал 75,24,1,1,1280741941,55.745985,37.655975,Double Bourbon,4
95,Баррикадная 5,10,859,1,1280741941,55.910276,37.856758,The Best Club,4
96,Таганская пл. 20К13,0,1,1,1280741941,55.7664,37.667137,Studio 54,4
97,пл. Ломоносова 2К4,0,57,1,1280741941,52.262714,104.241476,Полигон,4
98,Паустовского 8К1,8,1,1,1280741941,55.599072,37.538273,Шпилька,4
99,Дубининская 69,2,1,1,1280741941,55.714921,37.634502,Serebro,4
100,просп. Испытателей 26К2,14,2,1,1280741941,60.005873,30.269416,Vinyl Story Club,4
101,Хорошевское ш. 39,10,1,1,1280741941,55.777282,37.513682,Закрома Родины,4
102,Волгоградский пр. 6К1,2,1,1,1280741941,55.819257,37.564918,Shambor,4
103,Красная 174,6,72,1,1280741941,45.044215,38.978466,Infiniti,4
104,Пестеля 7,10,2,1,1280741941,59.94188,30.341479,Китайский летчик Джао Да,4
105,Тимирязевская 11,0,1,1,1280741941,55.598843,37.516171,Dark Woods,4
106,Бутырский Вал 5,17,1,1,1280741941,55.779474,37.58526,Жара,4
107,Декабристов 81,2,60,1,1280741941,55.818523,49.092239,Neo Territory,4
108,Полярные Зори 51К33,0,87,1,1280741941,67.374576,32.503702,Декабрь,4
109,Комсомольская пл. 89,0,123,1,1280741941,53.215343,50.24581,Движение,4
110,просп. Гагарина 29,5,95,1,1280741941,56.292438,43.979845,Затерянный рай,4
111,М.Дмитровка 23К15,0,1,1,1280741941,55.770578,37.604915,Синяя птица,4
112,просп. Ленина 46,0,146,1,1280741941,54.184551,37.607601,Анастасия,4
113,Кадашевская наб. 6К1,29,1,1,1280741941,55.742833,37.617186,Третьяков,4
114,просп. Победы 168,5,158,1,1280741941,55.184896,61.399338,Такси-блюз,4
115,Рабоче-Крестьянская 2К1,4,10,1,1280741941,48.699629,44.503815,Калипсо,4
116,М.Сухаревская пл. К38,5,1,1,1280741941,55.785017,37.53287,Арсенал,4
117,Мясницкая 13,0,1,1,1280741941,55.762449,37.632395,Вос-дух,4
118,Карла Маркса 68,2,42,1,1280741941,51.663663,39.206297,Bit Town,4
119,Красная 139,2,72,1,1280741941,45.044979,38.977029,Барсук,4
120,Энгельса 107,3,158,1,1280741941,55.148765,61.381075,Парк,4
121,Красная 36,8,112,1,1280741941,61.789079,34.353688,Контакт,4
122,Ставропольская 12,36,112,1,1280741941,61.810098,34.332272,Территория,4
123,Новокузнецкая 59а,3,158,1,1280741941,55.162947,61.389232,Монте-Карло,4
124,Свободы 46,11,169,1,1280741941,57.626034,39.869164,Старый город,4
125,Сергея Макеева 9,191,1,1,1280741941,55.761629,37.550837,Milk,4
126,Рогожский Вал 6К2,3,1,1,1280741941,55.742767,37.674526,Platina,4
127,Менделеевская 2,0,146,1,1280741941,54.191984,37.623555,Бригантина,4
128,Ясная 2,1,49,1,1280741941,56.816336,60.584691,Партия,4
129,Волгоградский просп. 3,5,2,1,1280741941,59.962944,30.412051,Free for Fun,4
130,Лубянский пр. 15К2,2,1,1,1280741941,55.756619,37.632489,Ля Мур,4
131,Газеты «Звезда» 38б,3,110,1,1280741941,58.007494,56.248559,New Star,4
132,Беговая ул. 47,6,49,1,1280741941,56.809497,60.601184,Red Cafe,4
133,Маршала Казакова 13,9,2,1,1280741941,59.860075,30.236709,Pickup Night Club,4
134,Страстной б-р 8а,8,1,1,1280741941,55.766258,37.610867,Babуlon Private Club,4
135,Летниковская 11К10,124,1,1,1280741941,55.724545,37.646372,Форум холл,4
136,Малышева 3К2,13,1,1,1280741941,55.701957,37.742735,От заката до рассвета,4
137,Комсомольский просп. 28,1,1,1,1280741941,55.727019,37.579681,Maska,4
138,Газетный пер. 84,2,119,1,1280741941,47.2272,39.714105,Асмолов,4
139,факс)Новопесчаная 233б,3,119,1,1280741941,47.234941,39.732162,Камасутра,4
140,Лиговский просп. 50К13,8,2,1,1280741941,59.925259,30.358139,Jesus,4
141,Бауманская 5,18,625,1,1280741941,56.344391,37.510628,Гелиос,4
142,пл. Киевского Вокзала 2,64,1,1,1280741941,55.74449,37.566302,Face,4
143,Московская 75,63,78,1,1280741941,52.608197,39.532349,Мегаполис,4
144,Кузнецкий мост 3,3,1,1,1280741941,55.761224,37.616575,Shelter,4
145,Школьная 21,3,1,1,1280741941,55.745808,37.672109,Old Street,4
146,Усиевича 12К14,0,1,1,1280741941,55.806267,37.528285,Manhattan,4
147,Братиславская ,14,158,1,1280741941,55.070035,60.107668,Van Gogh,4
